province,cities_reg,poorpeople_percentage,reg_gdp,life_exp,avg_schooltime,exp_percap
Sulawesi Selatan,Tana Toraja,12.27,7.571,73.35,8.51,7434
Sulawesi Selatan,Luwu Utara,13.59,13.237,68.61,7.86,11736
Sulawesi Selatan,Luwu Timur,6.94,21.53,70.585,8.81,12886
Sulawesi Selatan,Toraja Utara,11.99,9.721,73.345,8.25,8134
Sulawesi Selatan,Kota Makassar,4.82,178.333,72.08,11.43,17097
Sulawesi Selatan,Kota Parepare,5.4,7.324,71.255,10.65,13786
Sulawesi Selatan,Kota Palopo,8.14,8.025,70.865,10.94,13117
Sulawesi Tenggara,Buton,13.92,3.782,68.38,7.92,7324
Sulawesi Tenggara,Muna,13.54,2.463,70.37,8.46,8218
Sulawesi Tenggara,Konawe,13.03,2.925,70.295,9.21,10151
Sulawesi Tenggara,Kolaka,12.43,6.988,71.205,8.99,12525
Sulawesi Tenggara,Konawe Selatan,11.34,2.618,70.855,8.11,9059
Sulawesi Tenggara,Bombana,10.76,10.304,69.065,8.04,8310
Sulawesi Tenggara,Wakatobi,14.91,25.551,70.47,8.16,9280
Sulawesi Tenggara,Kolaka Utara,13.79,11.828,70.375,8.22,10244
Sulawesi Tenggara,Buton Utara,14.89,6.566,70.925,8.93,7496
Sulawesi Tenggara,Konawe Utara,14.32,4.429,69.48,9.3,9181
Sulawesi Tenggara,Kolaka Timur,14.35,8.831,72.82,7.84,7753
Sulawesi Tenggara,Konawe Kepulauan,17.81,3.211,68.43,9.42,6738
Sulawesi Tenggara,Muna Barat,13.96,3.966,70.31,7.3,7502
Sulawesi Tenggara,Buton Tengah,15.8,4.496,67.615,7.31,7244
Sulawesi Tenggara,Buton Selatan,14.62,1.399,67.635,7.54,7279
Sulawesi Tenggara,Kota Kendari,4.87,22.046,73.835,12.51,14356
Sulawesi Tenggara,Kota Baubau,7.78,9.076,71.245,10.91,10503
Gorontalo,Boalemo,19,5.491,69.275,7,8940
Gorontalo,Gorontalo,17.89,13.047,67.555,7.3,9412
Gorontalo,Pohuwato,18.08,6.737,64.26,7.26,10409
Gorontalo,Bone Bolango,16.3,4.649,68.42,8.32,10198
Gorontalo,Gorontalo Utara,17.23,3.429,65.905,7.15,9064
Gorontalo,Kota Gorontalo,5.93,8.537,72.52,10.37,12390
Sulawesi Barat,Majene,14.34,4.994,61.7,8.91,10028
Sulawesi Barat,Polewali Mandar,15.68,13.271,62.47,7.44,8548
Sulawesi Barat,Mamasa,13.77,2.983,70.875,7.88,7736
Sulawesi Barat,Mamuju,7.46,11.624,67.705,7.96,9494
Sulawesi Barat,Mamuju Utara,4.77,10.014,66.38,8.09,11072
Sulawesi Barat,Mamuju Tengah,7.13,3.186,68.49,7.51,8408
Maluku,Maluku Tenggara Barat,27.27,2.713,63.395,9.69,6335
Maluku,Maluku Tenggara,22.73,3.26,65.08,9.76,7580
Maluku,Maluku Tengah,19.84,8.725,66.38,9.68,10243
Maluku,Buru,17.28,2.427,66.365,8.79,10347
Maluku,Kepulauan Aru,26.53,3.504,62.89,8.83,7623
Maluku,Seram Bagian Barat,25.27,3.03,61.79,8.92,8720
Maluku,Seram Bagian Timur,23.25,2.914,59.56,8.46,9480
Maluku,Maluku Barat Daya,29.55,1.671,62.51,8.59,6918
Maluku,Buru Selatan,15.89,1.419,66.315,7.95,7600
Maluku,Kota Ambon,5.02,14.707,70.58,12.2,14148
Maluku,Kota Tual,23.26,2.491,65.63,10.53,7405
Maluku Utara,Halmahera Barat,8.95,2.286,66.295,8.37,7467
Maluku Utara,Halmahera Tengah,13.52,3.164,64.12,9.01,7966
Maluku Utara,Kepulauan Sula,8.23,2.516,63.34,9,7040
Maluku Utara,Halmahera Selatan,5.19,8.699,65.88,8.1,7142
Maluku Utara,Halmahera Utara,5.22,5.726,69.57,8.62,7519
Maluku Utara,Halmahera Timur,15.04,3.566,69.055,8.27,7973
Maluku Utara,Pulau Morotai,6.52,1.589,67.29,7.4,6378
Maluku Utara,Pulau Taliabu,7.49,1.491,62.175,7.67,6467
Maluku Utara,Kota Ternate,3.55,10.549,71.015,11.81,13290
Maluku Utara,Kota Tidore Kepulauan,6.58,2.978,69.395,9.95,8316
Papua Barat,Fakfak,22.86,5.207,68.5,8.97,7446
Papua Barat,Kaimana,16.04,2.712,64.935,8.58,8151
Papua Barat,Teluk Wondama,31.61,1.538,60.245,7.08,8034
Papua Barat,Teluk Bintuni,29.79,30.992,61.01,8.22,9708
Papua Barat,Manokwari,20.56,9.657,68.83,8.34,11977
Papua Barat,Sorong Selatan,18.55,1.859,66.385,7.49,6188
Papua Barat,Sorong,27.78,10.791,66.23,8.33,7350
Papua Barat,Raja Ampat,17.5,2.963,64.835,8.02,7882
Papua Barat,Tambrauw,33.86,239,60.195,5.39,4903
Papua Barat,Maybrat,31.39,732,65.24,6.96,5245
Papua Barat,Manokwari Selatan,29.3,819,67.6,6.63,5505
Papua Barat,Pegunungan Arfak,34.7,218,67.26,5.12,5009
Papua Barat,Kota Sorong,15.35,15.601,70.94,11.19,13744
Papua,Merauke,10.16,16.036,67.17,8.73,10201
Papua,Jayawijaya,37.09,8.156,59.88,5.6,7545
Papua,Jayapura,12.13,15.645,67.005,10.05,9989
Papua,Nabire,23.83,11.199,68.03,10.01,8856
Papua,Kepulauan Yapen,26.09,4.159,69.07,9.47,7491
Papua,Biak Numfor,24.45,5.232,68.205,10.34,9607
Papua,Paniai,36.59,4.286,66.435,4.77,6377
Papua,Puncak Jaya,36,1.389,65.335,3.74,5289
Papua,Mimika,14.17,63.397,72.375,10.18,11400
Papua,Boven Digoel,19.9,4.863,60.3,8.79,7864
Papua,Mappi,26.05,2.987,65.305,6.51,6327
Papua,Asmat,24.83,2.572,58.555,5.08,5736
Papua,Yahukimo,37.64,2.506,66.045,4.27,4895
Papua,Pegunungan Bintang,30.46,1.969,64.415,3.04,5429
Papua,Tolikara,32.6,1.673,65.815,3.65,4841
Papua,Sarmi,13.84,2.943,66.455,8.83,6617
Papua,Keerom,16,2.927,66.645,8.02,8926
Papua,Waropen,29.85,2.047,66.41,9.21,6788
Papua,Supiori,37.91,1.042,66.055,8.87,5708
Papua,Mamberamo Raya,28.78,1.725,57.99,5.87,4603
Papua,Nduga,37.18,1.271,55.37,1.42,3976
Papua,Lanny Jaya,38.73,1.935,66.015,3.43,4393
Papua,Mamberamo Tengah,36.76,1.215,63.75,3.33,4487
Papua,Yalimo,33.25,1.286,65.385,3.01,4664
Papua,Puncak,36.26,1.438,66.06,2.16,5412
Papua,Dogiyai,28.81,1.356,65.845,4.94,5415
Papua,Intan Jaya,41.66,1.274,65.58,3.09,5328
Papua,Deiyai,40.59,1.439,65.355,3.25,4673
Papua,Kota Jayapura,11.39,32.207,70.455,11.57,14937
